panel,instance,family,configuration,n,menu_size,gamma,threshold_count,breakpoints_per_group,clique_iterations_per_bound,adaptive_speedup,compressed_theta_fraction,clique_theta_fraction
Robustness,dense_frontier_n720_m6_g144_s31,dense_frontier,large_budget,720,6,144,26,0.03611111111111111,2166.8,1.8943527949328351,0.34615384615384615,0.34615384615384615
Robustness,dense_frontier_n720_m6_g144_s32,dense_frontier,large_budget,720,6,144,26,0.03611111111111111,2181.0,1.8707286181370872,0.34615384615384615,0.34615384615384615
Robustness,dense_frontier_n720_m6_g144_s33,dense_frontier,large_budget,720,6,144,26,0.03611111111111111,2157.6,1.8370239545202318,0.34615384615384615,0.34615384615384615
Robustness,correlated_risk_n720_m6_g144_s31,correlated_risk,large_budget,720,6,144,26,0.03611111111111111,2703.625,3.5400295808031883,0.46153846153846156,0.46153846153846156
Robustness,correlated_risk_n720_m6_g144_s32,correlated_risk,large_budget,720,6,144,26,0.03611111111111111,2951.0,3.6461425583346623,0.46153846153846156,0.46153846153846156
Robustness,correlated_risk_n720_m6_g144_s33,correlated_risk,large_budget,720,6,144,26,0.03611111111111111,2747.0,3.5161518694281186,0.46153846153846156,0.46153846153846156
Robustness,near_tie_n720_m6_g144_s31,near_tie,large_budget,720,6,144,26,0.03611111111111111,1934.090909090909,4.754361359742097,0.23076923076923078,0.6923076923076923
Robustness,near_tie_n720_m6_g144_s32,near_tie,large_budget,720,6,144,26,0.03611111111111111,2125.5714285714284,2.8124702579106864,0.34615384615384615,0.46153846153846156
Robustness,near_tie_n720_m6_g144_s33,near_tie,large_budget,720,6,144,26,0.03611111111111111,1813.8333333333333,3.4904839107335652,0.46153846153846156,0.6923076923076923
Robustness,many_breakpoints_n720_m6_g144_s31,many_breakpoints,large_budget,720,6,144,3601,5.001388888888889,1689.4857142857143,2.4753632966692183,0.00833101916134407,0.014995834490419328
Robustness,many_breakpoints_n720_m6_g144_s32,many_breakpoints,large_budget,720,6,144,3601,5.001388888888889,1756.3103448275863,2.7824271721130005,0.006664815329075257,0.012496528742016106
Robustness,many_breakpoints_n720_m6_g144_s33,many_breakpoints,large_budget,720,6,144,3601,5.001388888888889,1741.8620689655172,2.752515041055047,0.006664815329075257,0.012496528742016106
Stress,dense_frontier_n2880_m6_g53_s41,dense_frontier,stress,2880,6,53,26,0.009027777777777777,7440.8,4.754357127269739,0.11538461538461539,0.34615384615384615
Stress,dense_frontier_n5760_m6_g75_s41,dense_frontier,stress,5760,6,75,26,0.0045138888888888885,15233.2,6.522574109617305,0.11538461538461539,0.34615384615384615
Stress,correlated_risk_n2880_m6_g53_s41,correlated_risk,stress,2880,6,53,26,0.009027777777777777,6653.444444444444,5.931118902910398,0.34615384615384615,0.5769230769230769
Stress,correlated_risk_n5760_m6_g75_s41,correlated_risk,stress,5760,6,75,26,0.0045138888888888885,14940.714285714286,8.808863512546925,0.46153846153846156,0.46153846153846156
Stress,near_tie_n2880_m6_g53_s41,near_tie,stress,2880,6,53,26,0.009027777777777777,6013.428571428572,5.506107274701383,0.11538461538461539,0.46153846153846156
Stress,near_tie_n5760_m6_g75_s41,near_tie,stress,5760,6,75,26,0.0045138888888888885,13256.6,6.136005148608062,0.11538461538461539,0.34615384615384615
Stress,many_breakpoints_n2880_m6_g53_s41,many_breakpoints,stress,2880,6,53,14401,5.0003472222222225,6541.315789473684,2.835415231584792,0.002083188667453649,0.002083188667453649
Stress,many_breakpoints_n5760_m6_g75_s41,many_breakpoints,stress,5760,6,75,28801,5.000173611111111,12809.263157894737,4.418592496356412,0.001041630498941009,0.001041630498941009
Coefficient transfer,rwth_knapsack_n=1000_seed=31,rwth_knapsack,external_coefficient_transfer,1000,2,250,920,0.92,508.3809523809524,1.7444469252327477,0.029347826086956522,0.035869565217391305
Coefficient transfer,rwth_knapsack_n=1000_seed=32,rwth_knapsack,external_coefficient_transfer,1000,2,250,918,0.918,458.35714285714283,1.620431048295732,0.0392156862745098,0.0457516339869281
Coefficient transfer,rwth_knapsack_n=1000_seed=33,rwth_knapsack,external_coefficient_transfer,1000,2,250,904,0.904,440.5,1.7216155325032352,0.03982300884955752,0.04756637168141593
Coefficient transfer,rwth_knapsack_n=5000_seed=41,rwth_knapsack,external_coefficient_transfer,5000,2,500,3199,0.6398,1265.3793103448277,2.938528077597609,0.011253516723976243,0.014066895904970303
Coefficient transfer,rwth_knapsack_n=5000_seed=42,rwth_knapsack,external_coefficient_transfer,5000,2,500,3173,0.6346,1373.84,3.0507956459902728,0.009454774661203908,0.01229120705956508
Coefficient transfer,rwth_knapsack_n=5000_seed=43,rwth_knapsack,external_coefficient_transfer,5000,2,500,3231,0.6462,1313.3703703703704,3.2317590992541825,0.009285051067780872,0.012999071494893221
Coefficient transfer,rwth_knapsack_n=10000_seed=51,rwth_knapsack,external_coefficient_transfer,10000,2,500,4486,0.4486,1607.3548387096773,3.630664130210295,0.00780205082478823,0.010031208203299153
Coefficient transfer,rwth_knapsack_n=10000_seed=52,rwth_knapsack,external_coefficient_transfer,10000,2,500,4500,0.45,1592.6451612903227,4.254190064296192,0.006666666666666667,0.010444444444444444
Coefficient transfer,rwth_knapsack_n=10000_seed=53,rwth_knapsack,external_coefficient_transfer,10000,2,500,4452,0.4452,1580.741935483871,4.1503529619069965,0.006738544474393531,0.010332434860736747
Pricing-derived,uci_online_retail_n360_s61,uci_online_retail,application,360,12,18,1995,5.541666666666667,370.0,0.25471109982216505,0.009022556390977444,0.013533834586466165
Pricing-derived,uci_online_retail_n360_s62,uci_online_retail,application,360,12,18,2005,5.569444444444445,350.05263157894734,0.18330673587410157,0.014962593516209476,0.014962593516209476
Pricing-derived,uci_online_retail_n360_s63,uci_online_retail,application,360,12,18,1971,5.475,327.1764705882353,0.24371075503644588,0.0121765601217656,0.0136986301369863
Pricing-derived,uci_online_retail_n720_s61,uci_online_retail,application,720,12,26,3973,5.518055555555556,714.0,0.2519091958347787,0.005285678328718852,0.006795872136924239
Pricing-derived,uci_online_retail_n720_s62,uci_online_retail,application,720,12,26,4011,5.570833333333334,681.1052631578947,0.3071340793328968,0.005235602094240838,0.0074794315632011965
Pricing-derived,uci_online_retail_n720_s63,uci_online_retail,application,720,12,26,3976,5.522222222222222,700.2631578947369,0.2613152792977901,0.006790744466800805,0.007545271629778672
Pricing-derived,uci_online_retail_n1440_s61,uci_online_retail,application,1440,12,37,7995,5.552083333333333,1248.7894736842106,0.23808835461032607,0.00375234521575985,0.00375234521575985
Pricing-derived,uci_online_retail_n1440_s62,uci_online_retail,application,1440,12,37,8016,5.566666666666666,1351.1904761904761,0.25827874629127534,0.0033682634730538923,0.004116766467065869
Pricing-derived,uci_online_retail_n1440_s63,uci_online_retail,application,1440,12,37,8011,5.563194444444444,1282.3333333333333,0.5636693873469403,0.0018724254150543004,0.005242791162152041
